loan_id,customer_id,loan_type,loan_amount,repayment_term,application_date,approved,loan_rejected,total_transaction_amount,loan_to_income_ratio,age,gender,country,customer_age_group
LOAN_000029,CUST_001198,mortgage,203876.3,15,2022-01-14,False,True,1140.02,178.83572218031262,34.0,Male,Italy,26-40
LOAN_000030,CUST_001945,personal,2976.61,3,2022-04-21,True,False,1586.07,1.876720447395134,25.0,Male,Germany,26-40
LOAN_000031,CUST_000027,personal,24830.05,4,2023-01-16,True,False,283.1,87.70770045920169,30.0,Female,Spain,26-40
LOAN_000032,CUST_000331,business,116047.27,5,2021-10-18,True,False,1040.67,111.51207395235761,31.0,Female,Portugal,26-40
LOAN_000033,CUST_001799,business,28147.62,5,2021-10-06,False,True,2415.71,11.651903581141775,22.0,Female,Austria,18-25
LOAN_000034,CUST_000530,personal,14395.01,3,2023-09-19,False,True,1679.74,8.569784609522902,72.0,Female,France,60+
LOAN_000035,CUST_001504,auto,26327.45,6,2022-10-17,True,False,860.88,30.582020722981138,22.0,Male,Germany,18-25
LOAN_000036,CUST_001996,auto,25332.6,3,2021-08-30,True,False,755.69,33.52247614762667,23.0,Male,France,18-25
LOAN_000037,CUST_001071,personal,6292.64,4,2023-09-20,False,True,1052.33,5.97972119012097,24.0,Male,Netherlands,18-25
LOAN_000038,CUST_000467,personal,5516.66,4,2023-11-26,True,False,2121.52,2.600333722991063,39.0,Female,Belgium,26-40
LOAN_000039,CUST_000127,auto,13923.43,6,2021-10-26,True,False,3785.01,3.678571522928605,35.0,Female,Netherlands,26-40
LOAN_000040,CUST_000929,education,25761.62,10,2023-08-21,True,False,817.48,31.513455986690804,40.0,Male,Belgium,41-60
LOAN_000041,CUST_000932,mortgage,288419.68,25,2021-11-15,True,False,473.96,608.5316904380117,44.0,Female,Belgium,41-60
LOAN_000042,CUST_000334,business,84047.57,7,2023-10-01,True,False,1800.52,46.67960922400196,33.0,Male,Germany,26-40
LOAN_000043,CUST_000831,education,34440.13,10,2022-10-07,False,True,1810.5,19.02244131455399,20.0,Female,Germany,18-25
LOAN_000044,CUST_001795,auto,14442.23,4,2022-03-13,True,False,640.02,22.565279210024688,38.0,Male,Austria,26-40
LOAN_000045,CUST_000831,education,34808.4,10,2023-05-19,True,False,1810.5,19.225849212924608,20.0,Female,Germany,18-25
LOAN_000046,CUST_001166,mortgage,259758.97,15,2022-05-12,False,True,1357.59,191.33830537938553,38.0,Female,Belgium,26-40
LOAN_000047,CUST_001538,personal,11751.36,5,2023-09-15,False,True,1975.02,5.949995443084121,44.0,Female,Austria,41-60
LOAN_000048,CUST_000193,personal,13172.48,4,2023-04-30,True,False,1814.51,7.259524609949794,32.0,Female,Spain,26-40
LOAN_000049,CUST_000739,personal,8530.85,5,2023-03-16,True,False,487.0,17.517145790554416,29.0,Female,Belgium,26-40
LOAN_000050,CUST_000409,auto,54127.51,5,2023-03-22,True,False,1318.75,41.04455734597157,38.0,Male,Spain,26-40
LOAN_000051,CUST_001185,education,18783.0,5,2021-12-02,True,False,1323.72,14.189556703834647,34.0,Female,Germany,26-40
LOAN_000052,CUST_001984,personal,13078.12,5,2022-01-18,True,False,1144.06,11.43132353198259,60.0,Male,Spain,60+
LOAN_000053,CUST_000424,personal,11253.03,2,2022-12-24,False,True,2176.72,5.169718659267155,24.0,Female,Italy,18-25
LOAN_000054,CUST_001971,auto,23554.99,6,2022-11-03,False,True,2883.14,8.169908502535431,24.0,Female,Italy,18-25
LOAN_000055,CUST_000923,personal,2517.1,4,2023-11-29,True,False,1220.17,2.0629092667415194,38.0,Male,Italy,26-40
LOAN_000056,CUST_001535,auto,19901.52,6,2022-07-15,False,True,1525.99,13.041710627199391,25.0,Female,Germany,26-40
LOAN_000057,CUST_000441,business,102958.61,10,2023-08-06,True,False,854.55,120.48283892106957,34.0,Male,Spain,26-40
LOAN_000058,CUST_001603,auto,26668.1,4,2023-07-29,True,False,1101.9,24.201923949541698,39.0,Female,Germany,26-40
LOAN_000059,CUST_000975,auto,42060.85,6,2022-11-26,False,True,992.0,42.400050403225805,50.0,Male,France,41-60
LOAN_000060,CUST_001788,business,32367.07,5,2023-03-11,False,True,650.99,49.719765280572666,75.0,Non-binary,France,60+
LOAN_000061,CUST_000836,personal,14955.77,3,2022-11-03,True,False,1456.86,10.265756489985312,75.0,Female,Germany,60+
LOAN_000062,CUST_000974,business,65591.96,3,2022-10-27,True,False,2352.29,27.884299980019474,35.0,Female,Germany,26-40
LOAN_000063,CUST_000172,auto,12947.97,5,2022-10-13,True,False,1976.34,6.551489116245181,30.0,Female,Spain,26-40
LOAN_000064,CUST_000871,auto,12232.91,5,2022-05-17,True,False,1082.79,11.297583095521754,27.0,Female,Netherlands,26-40
LOAN_000065,CUST_000816,business,60554.15,7,2021-10-12,True,False,1800.41,33.63353347293116,31.0,Female,Netherlands,26-40
LOAN_000066,CUST_000272,mortgage,381868.92,25,2021-10-11,True,False,1179.82,323.6671017612856,59.0,Male,France,41-60
LOAN_000067,CUST_001697,auto,25839.54,5,2022-08-10,True,False,2554.12,10.11680735439212,63.0,Male,Italy,60+
LOAN_000068,CUST_001443,auto,7528.89,6,2023-11-03,True,False,1612.29,4.669687215079174,58.0,Female,Belgium,41-60
LOAN_000069,CUST_000059,mortgage,303786.94,20,2023-06-22,False,True,1690.66,179.68541279736905,43.0,Male,Belgium,41-60
LOAN_000070,CUST_000268,business,118561.32,5,2022-06-29,True,False,1307.14,90.7028474379179,35.0,Male,Italy,26-40
LOAN_000071,CUST_000533,personal,5219.52,3,2023-05-26,False,True,2188.19,2.3853138895616928,37.0,Male,Germany,26-40
LOAN_000072,CUST_001914,business,56230.23,5,2021-08-31,False,True,294.52,190.92160124949072,34.0,Male,Spain,26-40
LOAN_000073,CUST_001416,auto,20312.66,3,2022-04-23,True,False,556.88,36.47582962218072,65.0,Female,Austria,60+
LOAN_000074,CUST_000036,personal,5357.64,5,2023-11-03,False,True,2871.99,1.8654800330084718,19.0,Male,Portugal,18-25
LOAN_000075,CUST_001564,personal,19698.71,4,2021-08-27,False,True,786.67,25.04062694649599,74.0,Female,Italy,60+
LOAN_000076,CUST_000631,business,138463.15,7,2021-10-06,True,False,683.88,202.46702637889686,35.0,Male,Spain,26-40
LOAN_000077,CUST_001808,auto,24103.85,3,2021-06-16,True,False,1577.05,15.284138105957325,21.0,Female,Netherlands,18-25
LOAN_000078,CUST_000255,personal,16191.16,3,2021-08-27,True,False,2927.6,5.530523295532177,55.0,Male,Austria,41-60
LOAN_000079,CUST_000198,auto,17338.91,4,2021-08-27,True,False,598.02,28.99386308150229,30.0,Male,France,26-40
LOAN_000080,CUST_001857,personal,24388.6,4,2022-10-11,False,True,3031.09,8.046148415256557,37.0,Female,Spain,26-40
LOAN_000081,CUST_000526,mortgage,367028.69,25,2023-11-24,False,True,213.59,1718.3795589681165,22.0,Female,Portugal,18-25
LOAN_000082,CUST_000220,personal,9268.18,4,2021-07-31,False,True,1912.95,4.844967197260775,30.0,Female,Germany,26-40
LOAN_000083,CUST_000498,personal,17497.31,4,2021-09-14,True,False,1448.98,12.075604908280308,23.0,Male,Spain,18-25
LOAN_000084,CUST_001785,business,60413.83,7,2021-03-11,True,False,2337.89,25.84117730089953,40.0,Male,Germany,41-60
LOAN_000085,CUST_001473,personal,30320.03,5,2021-03-10,False,True,762.86,39.745208819442624,48.0,Female,Germany,41-60
LOAN_000086,CUST_000932,business,38916.04,10,2022-09-21,False,True,473.96,82.10827917967761,44.0,Female,Belgium,41-60
LOAN_000087,CUST_000010,personal,10817.49,4,2021-02-25,False,True,677.33,15.970782336527245,43.0,Female,Austria,41-60
LOAN_000088,CUST_000330,personal,12559.06,3,2021-03-20,True,False,2259.38,5.558631128893767,28.0,Male,Belgium,26-40
LOAN_000089,CUST_001985,personal,5342.33,4,2021-10-10,False,True,509.39,10.48770097567679,46.0,Male,Netherlands,41-60
LOAN_000090,CUST_001788,personal,11474.69,3,2023-03-09,True,False,650.99,17.62652268083995,75.0,Non-binary,France,60+
LOAN_000091,CUST_001549,personal,20934.26,2,2023-09-08,True,False,543.62,38.50899525403774,37.0,Female,Germany,26-40
LOAN_000092,CUST_000429,mortgage,204816.37,25,2022-06-03,False,True,2344.77,87.35030301479463,39.0,Female,Belgium,26-40
LOAN_000093,CUST_001041,personal,37914.14,2,2023-04-05,False,True,1390.01,27.276163480838267,33.0,Female,Germany,26-40
LOAN_000094,CUST_000399,personal,7307.89,4,2023-05-12,True,False,853.32,8.56406740730324,18.0,Male,Germany,18-25
LOAN_000095,CUST_000082,auto,21053.39,5,2023-02-13,True,False,2800.66,7.51729592310384,24.0,Male,France,18-25
LOAN_000096,CUST_000696,mortgage,116106.03,20,2021-05-02,True,False,1805.17,64.31861265144003,32.0,Male,Germany,26-40
LOAN_000097,CUST_000191,auto,27553.34,6,2023-03-02,True,False,1325.33,20.789795748983273,49.0,Female,Netherlands,41-60
LOAN_000098,CUST_000915,mortgage,469878.55,25,2022-11-16,False,True,2430.31,193.34099353580407,33.0,Female,Germany,26-40
LOAN_000099,CUST_001932,mortgage,80543.77,30,2022-04-20,True,False,1363.15,59.08650552030224,57.0,Female,France,41-60
LOAN_000100,CUST_001495,personal,3044.46,4,2023-02-26,True,False,625.85,4.864520252456659,74.0,Non-binary,France,60+
LOAN_000101,CUST_000286,business,155715.9,10,2021-01-22,True,False,2147.71,72.50322436455573,48.0,Male,Austria,41-60
LOAN_000102,CUST_001023,personal,22150.3,3,2021-02-25,True,False,1368.61,16.18452298317271,36.0,Female,Germany,26-40
LOAN_000103,CUST_000449,auto,20232.05,3,2021-11-24,True,False,424.41,47.67100209702881,33.0,Male,Spain,26-40
LOAN_000104,CUST_000292,personal,24116.82,3,2022-05-07,True,False,1153.97,20.899000840576445,31.0,Male,Netherlands,26-40
LOAN_000105,CUST_001115,mortgage,336318.9,15,2021-09-11,False,True,2272.76,147.97818511413436,30.0,Female,France,26-40
LOAN_000106,CUST_000285,business,128720.39,7,2021-09-11,False,True,2107.46,61.07844988754235,18.0,Male,France,18-25
LOAN_000107,CUST_001348,mortgage,221118.65,30,2023-01-30,True,False,1842.62,120.00230649835561,29.0,Female,France,26-40
LOAN_000108,CUST_001949,mortgage,340026.35,20,2023-11-18,True,False,363.38,935.7321536683361,53.0,Male,Germany,41-60
LOAN_000109,CUST_000160,education,36133.4,15,2022-04-30,True,False,1121.78,32.21077216566528,60.0,Female,Spain,60+
LOAN_000110,CUST_000099,personal,8370.78,4,2023-12-27,True,False,622.25,13.452438730413823,32.0,Male,Austria,26-40
LOAN_000111,CUST_000508,personal,10252.67,3,2023-11-26,True,False,1639.11,6.255022542721355,32.0,Male,Spain,26-40
LOAN_000112,CUST_001115,personal,21381.01,3,2022-12-30,True,False,2272.76,9.40750893187138,30.0,Female,France,26-40
LOAN_000113,CUST_001050,personal,16791.64,3,2023-03-25,True,False,665.83,25.219109983028698,26.0,Female,Belgium,26-40
LOAN_000114,CUST_000130,business,106244.69,10,2021-04-19,False,True,995.55,106.71959218522426,40.0,Male,France,41-60
LOAN_000115,CUST_001028,business,61797.98,7,2022-11-26,False,True,1798.03,34.36982697730294,34.0,Male,Germany,26-40
LOAN_000116,CUST_001893,personal,9191.52,3,2023-11-29,False,True,1354.21,6.7873668042622635,34.0,Female,Germany,26-40
LOAN_000117,CUST_000360,education,46522.37,10,2021-02-02,True,False,3928.59,11.842001837809494,50.0,Male,Spain,41-60
LOAN_000118,CUST_001730,business,122904.73,5,2021-04-21,True,False,2232.23,55.05916953002155,47.0,Male,Spain,41-60
LOAN_000119,CUST_000467,personal,13563.06,3,2022-10-10,True,False,2121.52,6.39308608921905,39.0,Female,Belgium,26-40
LOAN_000120,CUST_001092,auto,5000.0,4,2021-10-18,True,False,1233.73,4.0527506018334645,28.0,Female,Germany,26-40
LOAN_000121,CUST_001737,mortgage,170925.51,25,2021-01-06,True,False,952.53,179.4437025605493,36.0,Female,France,26-40
LOAN_000122,CUST_000344,personal,24384.85,2,2021-10-05,False,True,774.88,31.469195230229197,33.0,Male,Spain,26-40
LOAN_000123,CUST_001286,personal,14583.97,4,2023-06-28,True,False,493.89,29.52878171252708,45.0,Male,Austria,41-60
LOAN_000124,CUST_000727,personal,19586.78,2,2021-08-03,True,False,1452.14,13.488217389507897,30.0,Male,Belgium,26-40
LOAN_000125,CUST_033673,mortgage,173848.89,15,2022-06-30,True,False,,,,,,
LOAN_000126,CUST_000285,mortgage,267020.1,30,2022-02-08,True,False,2107.46,126.70233361487287,18.0,Male,France,18-25
LOAN_000127,CUST_001053,personal,26568.29,2,2022-10-26,True,False,1018.11,26.095696928622644,18.0,Male,France,18-25
LOAN_000128,CUST_001676,personal,19102.22,4,2023-06-28,False,True,1852.58,10.311144457999116,44.0,Female,Netherlands,41-60
LOAN_000129,CUST_000649,mortgage,264691.68,20,2023-07-13,False,True,1628.5,162.53710776788455,61.0,Female,France,60+
LOAN_000130,CUST_001963,business,10000.0,5,2023-09-10,True,False,2612.56,3.827663288115871,37.0,Male,Italy,26-40
LOAN_000131,CUST_001755,education,47797.42,5,2022-06-22,True,False,871.23,54.861999701571335,51.0,Male,Belgium,41-60
LOAN_000132,CUST_000117,education,25575.1,7,2021-02-27,True,False,496.67,51.49314434131314,39.0,Male,Netherlands,26-40
LOAN_000133,CUST_000537,personal,12081.51,3,2022-04-19,True,False,1774.65,6.807826895444172,51.0,Female,Germany,41-60
LOAN_000134,CUST_001465,personal,3708.06,3,2022-05-15,False,True,776.57,4.7749204836653485,32.0,Male,Italy,26-40
LOAN_000135,CUST_001939,personal,30727.17,4,2022-01-08,False,True,679.76,45.202968694833466,55.0,Female,Belgium,41-60
LOAN_000136,CUST_000506,business,80490.07,5,2021-07-22,False,True,1961.89,41.02680068709255,18.0,Male,Spain,18-25
LOAN_000137,CUST_092317,personal,24602.58,4,2021-06-23,False,True,,,,,,
LOAN_000138,CUST_000602,business,18967.36,5,2023-07-08,True,False,2182.34,8.691294665359202,43.0,Female,Austria,41-60
LOAN_000139,CUST_001171,mortgage,331103.99,30,2022-09-06,True,False,593.96,557.4516634116775,30.0,Female,Germany,26-40
LOAN_000140,CUST_000548,personal,21001.82,2,2023-11-07,False,True,848.82,24.742371763153553,22.0,Male,France,18-25
LOAN_000141,CUST_000428,personal,8720.34,2,2021-11-02,True,False,994.13,8.771830645891383,33.0,Female,Italy,26-40
LOAN_000142,CUST_001458,business,144936.39,10,2023-04-18,False,True,1280.98,113.14492810192198,72.0,Male,Spain,60+
LOAN_000143,CUST_000026,mortgage,130689.04,25,2022-08-07,False,True,1193.93,109.4612246949151,34.0,Other,Germany,26-40
LOAN_000144,CUST_000939,business,10000.0,7,2023-11-04,True,False,1171.0,8.539709649871904,57.0,Male,France,41-60
LOAN_000145,CUST_001651,auto,23209.89,6,2021-06-29,True,False,585.33,39.65265747527036,49.0,Female,Germany,41-60
LOAN_000146,CUST_000617,personal,10663.73,4,2021-02-07,True,False,2587.44,4.1213438765729835,29.0,Male,France,26-40
LOAN_000147,CUST_000865,business,118967.57,5,2021-05-18,True,False,2310.88,51.48150055390155,29.0,Female,Spain,26-40
LOAN_000148,CUST_000628,auto,21754.84,4,2022-08-16,True,False,973.43,22.348643456643007,27.0,Female,France,26-40
LOAN_000149,CUST_039984,auto,31620.39,5,2021-04-02,True,False,,,,,,
LOAN_000150,CUST_001047,mortgage,192022.83,30,2021-07-16,True,False,1330.36,144.33899846658048,27.0,Male,France,26-40
LOAN_000151,CUST_001543,personal,18329.61,4,2022-12-14,True,False,1641.69,11.165085978473403,33.0,Male,Italy,26-40
LOAN_000152,CUST_000286,business,21861.43,7,2022-03-03,True,False,2147.71,10.178948740751778,48.0,Male,Austria,41-60
LOAN_000153,CUST_000786,personal,18442.14,2,2023-05-14,False,True,2687.38,6.862498046424398,56.0,Male,Spain,41-60
LOAN_000154,CUST_001072,mortgage,261209.35,30,2023-02-01,False,True,740.0,352.9856081081081,29.0,Female,Netherlands,26-40
LOAN_000155,CUST_000755,personal,25700.79,4,2022-11-02,False,True,629.15,40.850019868075975,26.0,Male,Germany,26-40
LOAN_000156,CUST_001091,auto,25083.71,5,2021-01-07,False,True,1098.92,22.825783496523858,24.0,Female,Netherlands,18-25
LOAN_000157,CUST_000303,mortgage,288517.08,30,2023-01-07,True,False,2329.03,123.87864475768882,59.0,Female,Spain,41-60
LOAN_000158,CUST_001437,personal,6625.93,3,2022-11-08,False,True,603.65,10.976443303238632,52.0,Female,Germany,41-60
LOAN_000159,CUST_001453,auto,14032.24,5,2021-08-06,True,False,1633.61,8.589712354846016,30.0,Male,Germany,26-40
LOAN_000160,CUST_001711,personal,11999.71,3,2022-03-20,True,False,1566.97,7.657906660625282,35.0,Male,Spain,26-40
LOAN_000161,CUST_001337,mortgage,525347.68,25,2023-08-26,True,False,1447.24,362.99969597302453,75.0,Male,Germany,60+
LOAN_000162,CUST_000599,auto,33102.79,4,2023-11-10,True,False,899.06,36.819333526127295,26.0,Male,Belgium,26-40
LOAN_000163,CUST_000375,auto,23002.59,5,2022-12-08,True,False,1509.66,15.236934144111919,30.0,Male,Italy,26-40
LOAN_000164,CUST_000931,personal,23804.68,4,2022-12-10,True,False,660.87,36.020215776173835,49.0,Female,Germany,41-60
LOAN_000165,CUST_000095,auto,29656.48,4,2021-10-03,True,False,1073.76,27.61928177618835,44.0,Female,Spain,41-60
LOAN_000166,CUST_001631,business,19023.2,5,2023-12-04,True,False,2460.61,7.73109107091331,36.0,Male,Italy,26-40
LOAN_000167,CUST_000101,mortgage,338874.28,25,2021-10-16,False,True,253.85,1334.9390584991138,71.0,Female,Spain,60+
LOAN_000168,CUST_000826,personal,22690.7,5,2023-09-03,True,False,1811.94,12.52287603342274,35.0,Male,France,26-40
LOAN_000169,CUST_001668,business,77740.8,5,2021-12-12,True,False,1995.14,38.965085156931345,49.0,Female,Austria,41-60
LOAN_000170,CUST_000885,business,48919.68,7,2021-09-20,True,False,645.11,75.83153260684225,25.0,Male,Netherlands,26-40
LOAN_000171,CUST_001652,mortgage,277637.81,25,2022-11-11,True,False,695.97,398.92209434314697,34.0,Female,Belgium,26-40
LOAN_000172,CUST_000751,business,64735.7,7,2023-08-22,False,True,1333.47,48.546798953107306,22.0,Other,Italy,18-25
LOAN_000173,CUST_000903,auto,26607.53,5,2023-05-03,True,False,1332.6,19.966629146030318,38.0,Female,Germany,26-40
LOAN_000174,CUST_001057,mortgage,213015.12,20,2022-01-10,True,False,456.1,467.0360008770006,56.0,Male,Belgium,41-60
LOAN_000175,CUST_000228,mortgage,270868.9,20,2022-12-08,True,False,1894.95,142.9425050792897,57.0,Female,Austria,41-60
LOAN_000176,CUST_001256,auto,9865.79,5,2023-07-04,True,False,558.27,17.672076235513284,31.0,Female,Spain,26-40
LOAN_000177,CUST_000823,auto,20855.86,4,2023-02-03,False,True,1001.78,20.81880253149394,50.0,Other,France,41-60
LOAN_000178,CUST_001983,personal,23068.5,5,2022-06-25,True,False,1255.75,18.370296635476805,58.0,Male,Netherlands,41-60
LOAN_000179,CUST_000870,auto,43219.97,6,2021-01-24,False,True,665.66,64.92799627437431,48.0,Female,Germany,41-60
LOAN_000180,CUST_000037,personal,13862.96,5,2022-02-13,True,False,3193.37,4.341169360268306,60.0,Female,Spain,60+
LOAN_000181,CUST_000955,personal,23373.0,4,2022-12-04,True,False,1054.82,22.15828292978897,51.0,Female,Netherlands,41-60
LOAN_000182,CUST_001625,auto,19854.46,6,2021-03-17,True,False,1418.97,13.992163329739176,30.0,Male,France,26-40
LOAN_000183,CUST_001853,personal,17175.22,5,2023-04-21,False,True,517.55,33.18562457733553,37.0,Female,France,26-40
LOAN_000184,CUST_000417,mortgage,345431.45,25,2022-09-21,True,False,3021.76,114.31465437361008,77.0,Female,Spain,60+
LOAN_000185,CUST_001832,business,154151.26,5,2021-07-07,False,True,1630.62,94.53536691565172,46.0,Female,Germany,41-60
LOAN_000186,CUST_000819,personal,6923.08,2,2021-10-27,True,False,3355.8,2.0630192502532925,49.0,Male,Italy,41-60
LOAN_000187,CUST_001047,business,72694.47,3,2022-11-05,True,False,1330.36,54.64270573378635,27.0,Male,France,26-40
LOAN_000188,CUST_000367,auto,22175.96,6,2023-09-28,False,True,1267.98,17.489203299736587,19.0,Female,Belgium,18-25
LOAN_000189,CUST_000062,personal,15664.5,2,2022-02-23,False,True,756.72,20.700523311132255,59.0,Male,Spain,41-60
LOAN_000190,CUST_000430,business,67353.66,3,2022-08-20,True,False,1899.38,35.4608661773842,20.0,Female,Germany,18-25
LOAN_000191,CUST_000818,mortgage,281258.43,20,2021-05-10,False,True,2386.11,117.87320366621823,49.0,Female,Italy,41-60
LOAN_000192,CUST_000835,auto,29629.06,6,2021-04-08,False,True,1506.95,19.66160788347324,18.0,Female,France,18-25
LOAN_000193,CUST_001104,business,20183.85,3,2021-02-06,True,False,5801.31,3.4791883212584738,31.0,Female,Spain,26-40
LOAN_000194,CUST_000172,mortgage,301252.35,30,2023-04-19,False,True,1976.34,152.42941497920398,30.0,Female,Spain,26-40
LOAN_000195,CUST_000651,education,40110.66,7,2022-05-08,False,True,3012.48,13.314830305927343,22.0,Female,Spain,18-25
LOAN_000196,CUST_000053,mortgage,213544.18,15,2023-11-30,True,False,507.31,420.9343005263054,49.0,Male,Portugal,41-60
LOAN_000197,CUST_001784,auto,20008.16,6,2022-09-18,True,False,1588.62,12.594679659075172,21.0,Female,Germany,18-25
LOAN_000198,CUST_001148,mortgage,144419.33,30,2023-04-13,True,False,424.06,340.56343441965754,39.0,Male,Germany,26-40
LOAN_000199,CUST_001415,business,128488.77,7,2023-01-26,True,False,747.43,171.90742945827705,55.0,Male,Germany,41-60
LOAN_000200,CUST_000659,personal,8268.19,3,2023-11-19,True,False,515.31,16.045079660786712,28.0,Female,France,26-40
LOAN_000201,CUST_001438,auto,30775.64,6,2022-12-01,True,False,551.51,55.80250584758209,44.0,Male,Germany,41-60
LOAN_000202,CUST_000624,business,46644.16,5,2022-07-14,False,True,1136.61,41.03796376945479,24.0,Female,Austria,18-25
LOAN_000203,CUST_000804,auto,40358.27,3,2022-12-22,False,True,1617.21,24.95549124727153,36.0,Female,France,26-40
LOAN_000204,CUST_000758,business,10000.0,10,2021-11-15,True,False,1526.82,6.549560524488807,48.0,Female,Netherlands,41-60
LOAN_000205,CUST_000902,mortgage,325353.21,30,2021-09-25,True,False,606.11,536.7890481925723,27.0,Male,France,26-40
LOAN_000206,CUST_000342,personal,16331.11,3,2023-01-05,True,False,1351.22,12.086196178268528,28.0,Male,Germany,26-40
LOAN_000207,CUST_000214,mortgage,238728.71,20,2021-10-14,False,True,1500.32,159.1185280473499,27.0,Female,France,26-40
LOAN_000208,CUST_001925,business,34827.88,5,2022-10-29,True,False,1323.45,26.31597718085307,27.0,Male,Netherlands,26-40
LOAN_000209,CUST_000808,personal,20868.57,5,2022-05-20,False,True,1539.03,13.5595602424904,28.0,Male,Portugal,26-40
LOAN_000210,CUST_001295,mortgage,269887.84,20,2021-02-21,True,False,1456.03,185.35870826837362,36.0,Female,Belgium,26-40
LOAN_000211,CUST_001169,mortgage,199997.58,25,2022-09-25,False,True,928.74,215.34291620905742,22.0,Male,Spain,18-25
LOAN_000212,CUST_000027,mortgage,358578.64,30,2022-01-13,False,True,283.1,1266.614765100671,30.0,Female,Spain,26-40
LOAN_000213,CUST_001646,auto,9765.75,4,2023-03-16,True,False,1106.69,8.824286837325719,26.0,Female,Germany,26-40
LOAN_000214,CUST_000021,mortgage,128833.81,30,2022-09-18,True,False,1263.79,101.94241923104313,49.0,Female,Germany,41-60
LOAN_000215,CUST_000586,mortgage,286225.8,30,2021-11-15,True,False,481.58,594.3473566177997,26.0,Female,Netherlands,26-40
LOAN_000216,CUST_001151,education,37990.31,10,2023-06-02,True,False,378.79,100.29385675440217,47.0,Male,Spain,41-60
LOAN_000217,CUST_001898,mortgage,210002.82,20,2021-04-13,True,False,1233.0,170.3185888077859,46.0,Female,Germany,41-60
