loan_id,customer_id,loan_type,loan_amount,repayment_term,application_date,approved
LOAN_000042,CUST_000334,business,84047.57,7,2023-10-01,True
LOAN_000043,CUST_000831,education,34440.13,10,2022-10-07,False
LOAN_000044,CUST_001795,auto,14442.23,4,2022-03-13,True
LOAN_000045,CUST_000831,education,34808.4,10,2023-05-19,True
LOAN_000046,CUST_001166,mortgage,259758.97,15,2022-05-12,False
LOAN_000047,CUST_001538,personal,11751.36,5,2023-09-15,False
LOAN_000048,CUST_000193,personal,13172.48,4,2023-04-30,True
LOAN_000049,CUST_000739,personal,8530.85,5,2023-03-16,True
LOAN_000050,CUST_000409,auto,54127.51,5,2023-03-22,True
LOAN_000051,CUST_001185,education,18783.0,5,2021-12-02,True
LOAN_000052,CUST_001984,personal,13078.12,5,2022-01-18,True
LOAN_000053,CUST_000424,personal,11253.03,2,2022-12-24,False
LOAN_000054,CUST_001971,auto,23554.99,6,2022-11-03,False
LOAN_000055,CUST_000923,personal,2517.1,4,2023-11-29,True
LOAN_000056,CUST_001535,auto,19901.52,6,2022-07-15,False
LOAN_000057,CUST_000441,business,102958.61,10,2023-08-06,True
LOAN_000058,CUST_001603,auto,26668.1,4,2023-07-29,True
LOAN_000059,CUST_000975,auto,42060.85,6,2022-11-26,False
LOAN_000060,CUST_001788,business,32367.07,5,2023-03-11,False
LOAN_000061,CUST_000836,personal,14955.77,3,2022-11-03,True
LOAN_000062,CUST_000974,business,65591.96,3,2022-10-27,True
LOAN_000063,CUST_000172,auto,12947.97,5,2022-10-13,True
LOAN_000064,CUST_000871,auto,12232.91,5,2022-05-17,True
LOAN_000065,CUST_000816,business,60554.15,7,2021-10-12,True
LOAN_000066,CUST_000272,mortgage,381868.92,25,2021-10-11,True
LOAN_000067,CUST_001697,auto,25839.54,5,2022-08-10,True
LOAN_000068,CUST_001443,auto,7528.89,6,2023-11-03,True
LOAN_000069,CUST_000059,mortgage,303786.94,20,2023-06-22,False
LOAN_000070,CUST_000268,business,118561.32,5,2022-06-29,True
LOAN_000071,CUST_000533,personal,5219.52,3,2023-05-26,False
LOAN_000072,CUST_001914,business,56230.23,5,2021-08-31,False
LOAN_000073,CUST_001416,auto,20312.66,3,2022-04-23,True
LOAN_000074,CUST_000036,personal,5357.64,5,2023-11-03,False
LOAN_000075,CUST_001564,personal,19698.71,4,2021-08-27,False
LOAN_000076,CUST_000631,business,138463.15,7,2021-10-06,True
LOAN_000077,CUST_001808,auto,24103.85,3,2021-06-16,True
LOAN_000078,CUST_000255,personal,16191.16,3,2021-08-27,True
LOAN_000079,CUST_000198,auto,17338.91,4,2021-08-27,True
LOAN_000080,CUST_001857,personal,24388.6,4,2022-10-11,False
LOAN_000081,CUST_000526,mortgage,367028.69,25,2023-11-24,False
LOAN_000082,CUST_000220,personal,9268.18,4,2021-07-31,False
LOAN_000083,CUST_000498,personal,17497.31,4,2021-09-14,True
LOAN_000084,CUST_001785,business,60413.83,7,2021-03-11,True
LOAN_000085,CUST_001473,personal,30320.03,5,2021-03-10,False
LOAN_000086,CUST_000932,business,38916.04,10,2022-09-21,False
LOAN_000087,CUST_000010,personal,10817.49,4,2021-02-25,False
LOAN_000088,CUST_000330,personal,12559.06,3,2021-03-20,True
LOAN_000089,CUST_001985,personal,5342.33,4,2021-10-10,False
LOAN_000090,CUST_001788,personal,11474.69,3,2023-03-09,True
LOAN_000091,CUST_001549,personal,20934.26,2,2023-09-08,True
LOAN_000092,CUST_000429,mortgage,204816.37,25,2022-06-03,False
LOAN_000093,CUST_001041,personal,37914.14,2,2023-04-05,False
LOAN_000094,CUST_000399,personal,7307.89,4,2023-05-12,True
LOAN_000095,CUST_000082,auto,21053.39,5,2023-02-13,True
LOAN_000096,CUST_000696,mortgage,116106.03,20,2021-05-02,True
LOAN_000097,CUST_000191,auto,27553.34,6,2023-03-02,True
LOAN_000098,CUST_000915,mortgage,469878.55,25,2022-11-16,False
LOAN_000099,CUST_001932,mortgage,80543.77,30,2022-04-20,True
LOAN_000100,CUST_001495,personal,3044.46,4,2023-02-26,True
LOAN_000101,CUST_000286,business,155715.9,10,2021-01-22,True
LOAN_000102,CUST_001023,personal,22150.3,3,2021-02-25,True
LOAN_000103,CUST_000449,auto,20232.05,3,2021-11-24,True
LOAN_000104,CUST_000292,personal,24116.82,3,2022-05-07,True
LOAN_000105,CUST_001115,mortgage,336318.9,15,2021-09-11,False
LOAN_000106,CUST_000285,business,128720.39,7,2021-09-11,False
LOAN_000107,CUST_001348,mortgage,221118.65,30,2023-01-30,True
LOAN_000108,CUST_001949,mortgage,340026.35,20,2023-11-18,True
LOAN_000109,CUST_000160,education,36133.4,15,2022-04-30,True
LOAN_000110,CUST_000099,personal,8370.78,4,2023-12-27,True
LOAN_000111,CUST_000508,personal,10252.67,3,2023-11-26,True
LOAN_000112,CUST_001115,personal,21381.01,3,2022-12-30,True
LOAN_000113,CUST_001050,personal,16791.64,3,2023-03-25,True
LOAN_000114,CUST_000130,business,106244.69,10,2021-04-19,False
LOAN_000115,CUST_001028,business,61797.98,7,2022-11-26,False
LOAN_000116,CUST_001893,personal,9191.52,3,2023-11-29,False
LOAN_000117,CUST_000360,education,46522.37,10,2021-02-02,True
LOAN_000118,CUST_001730,business,122904.73,5,2021-04-21,True
LOAN_000119,CUST_000467,personal,13563.06,3,2022-10-10,True
LOAN_000120,CUST_001092,auto,5000.0,4,2021-10-18,True
LOAN_000121,CUST_001737,mortgage,170925.51,25,2021-01-06,True
LOAN_000122,CUST_000344,personal,24384.85,2,2021-10-05,False
LOAN_000123,CUST_001286,personal,14583.97,4,2023-06-28,True
LOAN_000124,CUST_000727,personal,19586.78,2,2021-08-03,True
LOAN_000125,CUST_033673,mortgage,173848.89,15,2022-06-30,True
LOAN_000126,CUST_000285,mortgage,267020.1,30,2022-02-08,True
LOAN_000127,CUST_001053,personal,26568.29,2,2022-10-26,True
LOAN_000128,CUST_001676,personal,19102.22,4,2023-06-28,False
LOAN_000129,CUST_000649,mortgage,264691.68,20,2023-07-13,False
LOAN_000130,CUST_001963,business,10000.0,5,2023-09-10,True
LOAN_000131,CUST_001755,education,47797.42,5,2022-06-22,True
LOAN_000132,CUST_000117,education,25575.1,7,2021-02-27,True
LOAN_000133,CUST_000537,personal,12081.51,3,2022-04-19,True
LOAN_000134,CUST_001465,personal,3708.06,3,2022-05-15,False
LOAN_000135,CUST_001939,personal,30727.17,4,2022-01-08,False
LOAN_000136,CUST_000506,business,80490.07,5,2021-07-22,False
LOAN_000137,CUST_092317,personal,24602.58,4,2021-06-23,False
LOAN_000138,CUST_000602,business,18967.36,5,2023-07-08,True
LOAN_000139,CUST_001171,mortgage,331103.99,30,2022-09-06,True
LOAN_000140,CUST_000548,personal,21001.82,2,2023-11-07,False
LOAN_000141,CUST_000428,personal,8720.34,2,2021-11-02,True
LOAN_000142,CUST_001458,business,144936.39,10,2023-04-18,False
LOAN_000143,CUST_000026,mortgage,130689.04,25,2022-08-07,False
LOAN_000144,CUST_000939,business,10000.0,7,2023-11-04,True
LOAN_000145,CUST_001651,auto,23209.89,6,2021-06-29,True
LOAN_000146,CUST_000617,personal,10663.73,4,2021-02-07,True
LOAN_000147,CUST_000865,business,118967.57,5,2021-05-18,True
LOAN_000148,CUST_000628,auto,21754.84,4,2022-08-16,True
LOAN_000149,CUST_039984,auto,31620.39,5,2021-04-02,True
LOAN_000150,CUST_001047,mortgage,192022.83,30,2021-07-16,True
LOAN_000151,CUST_001543,personal,18329.61,4,2022-12-14,True
LOAN_000152,CUST_000286,business,21861.43,7,2022-03-03,True
LOAN_000153,CUST_000786,personal,18442.14,2,2023-05-14,False
LOAN_000154,CUST_001072,mortgage,261209.35,30,2023-02-01,False
LOAN_000155,CUST_000755,personal,25700.79,4,2022-11-02,False
LOAN_000156,CUST_001091,auto,25083.71,5,2021-01-07,False
LOAN_000157,CUST_000303,mortgage,288517.08,30,2023-01-07,True
LOAN_000158,CUST_001437,personal,6625.93,3,2022-11-08,False
LOAN_000159,CUST_001453,auto,14032.24,5,2021-08-06,True
LOAN_000160,CUST_001711,personal,11999.71,3,2022-03-20,True
LOAN_000161,CUST_001337,mortgage,525347.68,25,2023-08-26,True
LOAN_000162,CUST_000599,auto,33102.79,4,2023-11-10,True
LOAN_000163,CUST_000375,auto,23002.59,5,2022-12-08,True
LOAN_000164,CUST_000931,personal,23804.68,4,2022-12-10,True
LOAN_000165,CUST_000095,auto,29656.48,4,2021-10-03,True
LOAN_000166,CUST_001631,business,19023.2,5,2023-12-04,True
LOAN_000167,CUST_000101,mortgage,338874.28,25,2021-10-16,False
LOAN_000168,CUST_000826,personal,22690.7,5,2023-09-03,True
LOAN_000169,CUST_001668,business,77740.8,5,2021-12-12,True
LOAN_000170,CUST_000885,business,48919.68,7,2021-09-20,True
LOAN_000171,CUST_001652,mortgage,277637.81,25,2022-11-11,True
LOAN_000172,CUST_000751,business,64735.7,7,2023-08-22,False
LOAN_000173,CUST_000903,auto,26607.53,5,2023-05-03,True
LOAN_000174,CUST_001057,mortgage,213015.12,20,2022-01-10,True
LOAN_000175,CUST_000228,mortgage,270868.9,20,2022-12-08,True
LOAN_000176,CUST_001256,auto,9865.79,5,2023-07-04,True
LOAN_000177,CUST_000823,auto,20855.86,4,2023-02-03,False
LOAN_000178,CUST_001983,personal,23068.5,5,2022-06-25,True
LOAN_000179,CUST_000870,auto,43219.97,6,2021-01-24,False
LOAN_000180,CUST_000037,personal,13862.96,5,2022-02-13,True
LOAN_000181,CUST_000955,personal,23373.0,4,2022-12-04,True
LOAN_000182,CUST_001625,auto,19854.46,6,2021-03-17,True
LOAN_000183,CUST_001853,personal,17175.22,5,2023-04-21,False
LOAN_000184,CUST_000417,mortgage,345431.45,25,2022-09-21,True
LOAN_000185,CUST_001832,business,154151.26,5,2021-07-07,False
LOAN_000186,CUST_000819,personal,6923.08,2,2021-10-27,True
LOAN_000187,CUST_001047,business,72694.47,3,2022-11-05,True
LOAN_000188,CUST_000367,auto,22175.96,6,2023-09-28,False
LOAN_000189,CUST_000062,personal,15664.5,2,2022-02-23,False
LOAN_000190,CUST_000430,business,67353.66,3,2022-08-20,True
LOAN_000191,CUST_000818,mortgage,281258.43,20,2021-05-10,False
LOAN_000192,CUST_000835,auto,29629.06,6,2021-04-08,False
LOAN_000193,CUST_001104,business,20183.85,3,2021-02-06,True
LOAN_000194,CUST_000172,mortgage,301252.35,30,2023-04-19,False
LOAN_000195,CUST_000651,education,40110.66,7,2022-05-08,False
LOAN_000196,CUST_000053,mortgage,213544.18,15,2023-11-30,True
LOAN_000197,CUST_001784,auto,20008.16,6,2022-09-18,True
LOAN_000198,CUST_001148,mortgage,144419.33,30,2023-04-13,True
LOAN_000199,CUST_001415,business,128488.77,7,2023-01-26,True
LOAN_000200,CUST_000659,personal,8268.19,3,2023-11-19,True
LOAN_000201,CUST_001438,auto,30775.64,6,2022-12-01,True
LOAN_000202,CUST_000624,business,46644.16,5,2022-07-14,False
LOAN_000203,CUST_000804,auto,40358.27,3,2022-12-22,False
LOAN_000204,CUST_000758,business,10000.0,10,2021-11-15,True
LOAN_000205,CUST_000902,mortgage,325353.21,30,2021-09-25,True
LOAN_000206,CUST_000342,personal,16331.11,3,2023-01-05,True
LOAN_000207,CUST_000214,mortgage,238728.71,20,2021-10-14,False
LOAN_000208,CUST_001925,business,34827.88,5,2022-10-29,True
LOAN_000209,CUST_000808,personal,20868.57,5,2022-05-20,False
LOAN_000210,CUST_001295,mortgage,269887.84,20,2021-02-21,True
LOAN_000211,CUST_001169,mortgage,199997.58,25,2022-09-25,False
LOAN_000212,CUST_000027,mortgage,358578.64,30,2022-01-13,False
LOAN_000213,CUST_001646,auto,9765.75,4,2023-03-16,True
LOAN_000214,CUST_000021,mortgage,128833.81,30,2022-09-18,True
LOAN_000215,CUST_000586,mortgage,286225.8,30,2021-11-15,True
LOAN_000216,CUST_001151,education,37990.31,10,2023-06-02,True
LOAN_000217,CUST_001898,mortgage,210002.82,20,2021-04-13,True
LOAN_000218,CUST_000344,education,19899.79,10,2021-11-02,False
LOAN_000219,CUST_000341,business,11285.8,5,2021-07-16,True
LOAN_000220,CUST_000888,mortgage,396153.59,20,2022-02-04,True
LOAN_000221,CUST_000051,auto,20436.27,7,2022-09-13,False
LOAN_000222,CUST_000051,personal,38891.06,4,2023-11-20,False
LOAN_000223,CUST_000624,mortgage,290042.22,20,2023-11-04,False
LOAN_000224,CUST_001775,mortgage,158439.77,30,2023-04-11,True
LOAN_000225,CUST_001917,education,31033.39,10,2022-10-20,True
LOAN_000226,CUST_001087,personal,8607.45,3,2022-02-18,True
LOAN_000227,CUST_000731,auto,23761.22,4,2022-01-28,False
LOAN_000228,CUST_001262,personal,19104.61,4,2023-07-03,False
LOAN_000229,CUST_000611,business,127309.5,7,2021-03-12,True
LOAN_000230,CUST_000675,education,18736.92,10,2023-03-29,True
LOAN_000231,CUST_001713,auto,18784.08,6,2023-10-30,True
LOAN_000232,CUST_001307,personal,12071.66,5,2021-01-03,True
LOAN_000233,CUST_000968,mortgage,248872.2,30,2021-09-17,True
LOAN_000234,CUST_000199,business,118108.25,10,2023-10-30,False
LOAN_000235,CUST_001528,personal,18932.53,5,2023-07-08,True
LOAN_000236,CUST_000294,auto,20989.2,4,2022-05-30,False
LOAN_000237,CUST_000980,personal,13892.51,3,2022-02-14,False
LOAN_000238,CUST_000888,mortgage,160629.49,25,2022-08-10,True
LOAN_000239,CUST_001465,auto,31002.99,3,2022-05-16,False
LOAN_000240,CUST_001541,mortgage,73375.08,25,2023-09-15,True
LOAN_000241,CUST_000267,mortgage,267564.1,25,2022-10-09,False
LOAN_000242,CUST_001317,auto,22988.49,6,2023-04-23,False
LOAN_000243,CUST_001637,mortgage,274308.43,30,2021-09-11,False
LOAN_000244,CUST_001490,mortgage,185257.84,15,2022-07-19,False
LOAN_000245,CUST_000552,personal,22869.66,2,2023-03-28,True
LOAN_000246,CUST_000640,personal,15573.53,3,2022-12-06,True
LOAN_000247,CUST_001238,auto,35982.13,6,2022-06-04,True
LOAN_000248,CUST_000735,mortgage,410079.03,20,2022-08-02,False
LOAN_000249,CUST_000626,business,68389.27,3,2021-08-31,True
LOAN_000250,CUST_000647,auto,32005.29,6,2022-06-21,True
LOAN_000251,CUST_001985,personal,8967.43,3,2023-04-08,True
LOAN_000252,CUST_000961,auto,38949.32,6,2023-05-31,True
LOAN_000253,CUST_001013,personal,14483.03,5,2022-03-04,True
LOAN_000254,CUST_001632,personal,20708.77,4,2023-08-12,True
LOAN_000255,CUST_001220,auto,23837.42,6,2023-05-23,False
LOAN_000256,CUST_000211,personal,21689.65,5,2023-03-21,True
LOAN_000257,CUST_000914,mortgage,299871.13,20,2022-11-24,False
LOAN_000258,CUST_000642,auto,24797.52,3,2023-06-27,False
LOAN_000259,CUST_000773,personal,20619.9,5,2021-12-30,True
LOAN_000260,CUST_000980,auto,32236.82,3,2023-07-31,True
LOAN_000261,CUST_000514,business,10000.0,3,2022-12-24,False
LOAN_000262,CUST_001668,personal,8591.78,4,2021-02-17,True
LOAN_000263,CUST_001177,auto,36371.02,3,2022-06-30,True
LOAN_000264,CUST_000455,personal,14368.31,2,2023-10-10,False
LOAN_000265,CUST_001035,personal,7322.95,2,2022-08-21,True
LOAN_000266,CUST_000648,auto,38821.47,5,2023-05-11,True
LOAN_000267,CUST_000169,auto,20886.35,4,2023-10-24,True
LOAN_000268,CUST_001536,business,90619.25,5,2023-06-27,True
LOAN_000269,CUST_000935,business,117238.54,5,2023-03-19,False
LOAN_000270,CUST_001639,personal,24802.15,3,2021-01-19,True
LOAN_000271,CUST_001319,business,73594.01,7,2023-06-25,False
LOAN_000272,CUST_000379,business,126657.08,10,2022-11-03,False
LOAN_000273,CUST_000072,education,28370.67,7,2021-08-21,False
LOAN_000274,CUST_001306,personal,20511.03,4,2021-12-18,True
LOAN_000275,CUST_000159,auto,30922.63,5,2022-12-26,True
LOAN_000276,CUST_001037,business,59600.39,3,2021-04-08,True
LOAN_000277,CUST_000868,business,80751.82,7,2022-04-30,True
LOAN_000278,CUST_001254,personal,15909.25,4,2023-05-21,True
LOAN_000279,CUST_000830,mortgage,303917.5,30,2021-04-07,False
LOAN_000280,CUST_001513,personal,8889.17,5,2022-01-17,True
LOAN_000281,CUST_001518,business,47577.47,5,2023-08-13,True
LOAN_000282,CUST_001758,business,146241.4,7,2023-10-15,False
LOAN_000283,CUST_001418,education,18960.91,10,2022-06-18,True
LOAN_000284,CUST_000818,auto,16196.67,4,2023-11-05,True
LOAN_000285,CUST_000177,mortgage,143556.0,25,2023-01-22,False
LOAN_000286,CUST_000099,education,21848.99,10,2022-05-05,True
LOAN_000287,CUST_000660,education,17374.04,5,2021-04-09,True
LOAN_000288,CUST_000228,personal,31144.77,3,2021-09-16,True
LOAN_000289,CUST_000233,auto,25243.49,5,2021-02-20,True
LOAN_000290,CUST_001050,auto,21924.39,5,2023-08-26,True
LOAN_000291,CUST_001260,personal,5729.51,5,2023-08-30,False
LOAN_000292,CUST_000472,business,32693.49,3,2022-12-22,True
LOAN_000293,CUST_000320,auto,17763.33,3,2021-04-02,True
LOAN_000294,CUST_000454,mortgage,50000.0,20,2023-07-04,True
LOAN_000295,CUST_001560,personal,1000.0,2,2021-09-17,True
LOAN_000296,CUST_001776,personal,4646.34,2,2021-10-25,True
LOAN_000297,CUST_001603,education,19845.7,7,2022-07-01,True
LOAN_000298,CUST_000908,auto,28421.49,5,2021-12-15,False
LOAN_000299,CUST_000015,personal,28631.07,4,2021-11-30,False
LOAN_000300,CUST_000159,personal,19603.77,4,2023-07-13,False
LOAN_000301,CUST_000175,business,49384.36,3,2021-08-09,True
LOAN_000302,CUST_000415,business,23010.13,10,2021-05-09,True
LOAN_000303,CUST_000859,personal,7979.02,5,2022-10-27,True
LOAN_000304,CUST_000540,mortgage,216189.08,25,2021-02-26,False
LOAN_000305,CUST_000631,auto,25002.69,4,2022-05-29,False
LOAN_000306,CUST_001215,auto,5753.21,3,2021-06-16,False
LOAN_000307,CUST_000857,personal,17204.53,4,2023-06-14,False
LOAN_000308,CUST_001878,business,29373.83,7,2023-09-02,True
LOAN_000309,CUST_000321,education,31933.7,5,2023-09-02,True
LOAN_000310,CUST_001504,personal,29525.37,2,2023-06-26,False
LOAN_000311,CUST_000362,personal,10851.04,2,2021-07-29,True
LOAN_000312,CUST_000491,personal,34867.52,5,2021-04-18,True
LOAN_000313,CUST_001768,mortgage,321176.6,30,2023-09-24,True
LOAN_000314,CUST_000202,personal,19408.84,4,2023-04-15,True
LOAN_000315,CUST_001827,mortgage,221958.08,25,2021-11-05,True
LOAN_000316,CUST_001054,personal,10924.99,4,2021-07-02,True
LOAN_000317,CUST_001577,mortgage,404638.82,25,2022-03-06,True
LOAN_000318,CUST_000347,auto,26933.8,6,2023-07-18,True
LOAN_000319,CUST_001629,personal,15388.15,4,2023-03-12,True
LOAN_000320,CUST_001214,personal,13018.98,5,2021-03-18,True
LOAN_000321,CUST_000973,mortgage,384861.45,30,2023-09-08,True
LOAN_000322,CUST_001782,mortgage,312693.11,20,2022-11-17,False
LOAN_000323,CUST_001768,education,6188.9,10,2023-09-04,False
LOAN_000324,CUST_001738,auto,28684.38,5,2023-09-15,True
LOAN_000325,CUST_001049,personal,13494.83,4,2023-04-01,True
LOAN_000326,CUST_000073,personal,26854.14,3,2022-01-01,True
LOAN_000327,CUST_001305,personal,15174.12,4,2021-06-22,False
LOAN_000328,CUST_001087,mortgage,217160.8,20,2021-02-11,True
LOAN_000329,CUST_000029,business,78831.38,10,2021-05-27,True
LOAN_000330,CUST_000726,business,29188.22,5,2022-03-20,True
LOAN_000331,CUST_000164,personal,12883.47,3,2022-10-01,True
LOAN_000332,CUST_001794,mortgage,309138.53,25,2023-05-06,True
LOAN_000333,CUST_001145,business,144507.94,7,2022-04-29,True
LOAN_000334,CUST_001795,personal,22977.26,4,2023-01-30,True
LOAN_000335,CUST_000312,personal,17576.12,4,2023-08-31,True
LOAN_000336,CUST_001539,mortgage,226330.34,20,2021-10-08,True
LOAN_000337,CUST_001571,personal,21689.15,3,2021-09-04,True
LOAN_000338,CUST_000665,personal,15443.09,4,2021-06-07,True
LOAN_000339,CUST_000881,mortgage,277583.83,25,2022-09-18,False
LOAN_000340,CUST_001072,mortgage,463787.07,25,2023-03-20,False
LOAN_000341,CUST_000154,business,102664.6,5,2021-11-13,False
LOAN_000342,CUST_001285,business,109939.64,7,2021-06-01,True
LOAN_000343,CUST_000182,personal,1000.0,5,2022-04-30,True
LOAN_000344,CUST_000156,mortgage,270685.24,25,2023-09-22,False
LOAN_000345,CUST_000937,auto,36519.26,4,2021-12-23,True
LOAN_000346,CUST_001028,mortgage,383094.51,30,2023-03-01,False
LOAN_000347,CUST_000162,personal,16356.19,5,2023-06-26,True
LOAN_000348,CUST_001018,personal,7802.2,4,2022-07-27,True
LOAN_000349,CUST_000117,mortgage,51429.8,20,2022-09-07,False
LOAN_000350,CUST_000915,mortgage,248501.46,30,2021-05-11,False
LOAN_000351,CUST_000412,personal,13979.22,4,2021-11-04,True
LOAN_000352,CUST_001128,auto,18500.83,6,2022-09-17,False
LOAN_000353,CUST_001693,personal,25061.56,4,2022-01-22,True
LOAN_000354,CUST_000070,education,18477.42,7,2023-05-06,False
LOAN_000355,CUST_000264,personal,1000.0,5,2021-01-24,True
LOAN_000356,CUST_001009,mortgage,121857.07,15,2023-05-15,True
LOAN_000357,CUST_001596,mortgage,273124.78,20,2022-06-12,False
LOAN_000358,CUST_000520,mortgage,128301.02,25,2021-03-07,False
LOAN_000359,CUST_000633,personal,7642.06,3,2022-06-10,True
LOAN_000360,CUST_001115,auto,12715.02,6,2021-07-23,False
LOAN_000361,CUST_001898,auto,28748.03,3,2021-04-27,True
LOAN_000362,CUST_000810,personal,24759.62,2,2022-09-23,False
LOAN_000363,CUST_000038,mortgage,494952.91,20,2022-09-02,False
LOAN_000364,CUST_054646,business,27452.54,3,2021-06-10,True
LOAN_000365,CUST_000979,personal,8610.71,4,2021-07-21,True
LOAN_000366,CUST_000540,auto,26968.29,3,2021-01-17,False
LOAN_000367,CUST_001951,mortgage,50000.0,25,2021-08-21,True
LOAN_000368,CUST_000530,personal,20541.15,4,2022-06-02,False
LOAN_000369,CUST_001023,mortgage,63415.19,25,2022-02-20,True
LOAN_000370,CUST_000430,mortgage,339161.13,30,2021-11-30,True
LOAN_000371,CUST_001850,mortgage,64404.05,20,2021-06-24,True
LOAN_000372,CUST_000781,auto,27714.84,5,2022-11-11,False
LOAN_000373,CUST_001683,personal,22754.78,3,2021-05-27,True
LOAN_000374,CUST_000542,personal,11420.07,4,2022-04-26,True
LOAN_000375,CUST_001822,business,46347.55,5,2022-05-29,True
LOAN_000376,CUST_001190,business,46538.5,5,2023-02-12,True
LOAN_000377,CUST_001246,personal,33123.62,5,2023-06-22,True
LOAN_000378,CUST_000559,education,42056.45,7,2023-12-20,False
LOAN_000379,CUST_001181,personal,1796.4,5,2021-12-14,True
LOAN_000380,CUST_001711,auto,41728.1,6,2021-10-24,True
LOAN_000381,CUST_001570,auto,19918.12,5,2021-01-21,True
LOAN_000382,CUST_001347,auto,24176.39,4,2022-07-10,False
LOAN_000383,CUST_001931,personal,15495.23,4,2021-05-19,True
LOAN_000384,CUST_000193,personal,11684.21,4,2021-05-14,True
LOAN_000385,CUST_001508,education,41458.69,15,2023-04-23,True
LOAN_000386,CUST_001015,personal,6589.77,3,2023-05-18,True
LOAN_000387,CUST_001618,auto,21024.29,5,2023-09-12,True
LOAN_000388,CUST_001764,mortgage,183790.4,20,2021-10-01,True
LOAN_000389,CUST_001435,personal,15595.12,3,2021-01-19,True
LOAN_000390,CUST_000874,personal,3216.53,4,2021-10-01,True
LOAN_000391,CUST_000599,personal,13746.84,3,2023-03-13,True
LOAN_000392,CUST_000347,business,98796.62,5,2023-03-05,False
LOAN_000393,CUST_001755,personal,6664.63,4,2021-10-23,True
LOAN_000394,CUST_001096,mortgage,228244.58,30,2023-04-19,True
LOAN_000395,CUST_001213,personal,5260.66,4,2021-08-11,False
LOAN_000396,CUST_000438,auto,40493.86,3,2023-12-18,True
LOAN_000397,CUST_001051,mortgage,249146.2,25,2023-09-16,False
LOAN_000398,CUST_000646,personal,11968.44,4,2021-08-18,True
LOAN_000399,CUST_001306,personal,11301.9,3,2022-02-27,False
LOAN_000400,CUST_001078,mortgage,200256.37,25,2022-05-31,True
LOAN_000401,CUST_000010,auto,30310.03,3,2021-04-03,True
LOAN_000402,CUST_000702,mortgage,134573.42,25,2021-03-25,False
LOAN_000403,CUST_000043,mortgage,350335.74,30,2021-05-25,False
LOAN_000404,CUST_001254,personal,30221.71,5,2021-10-07,False
LOAN_000405,CUST_000809,education,33730.78,7,2021-07-31,True
LOAN_000406,CUST_001603,business,71740.95,5,2022-01-21,True
LOAN_000407,CUST_000404,auto,23201.44,5,2021-06-13,True
